date,family,sales,onpromotion,oil_price,is_holiday,holiday_type,total_transactions,year,month,day,day_of_week,day_name,week_of_year,quarter,is_weekend,is_month_start,is_month_end,day_of_year
2013-01-01,BEVERAGES,810.0,0,93.14,1,Holiday,770.0,2013,1,1,1,Tuesday,1,1,0,1,0,1
2013-01-02,BEVERAGES,72092.0,0,93.14,0,None,93215.0,2013,1,2,2,Wednesday,1,1,0,0,0,2
2013-01-03,BEVERAGES,52105.0,0,92.97,0,None,78504.0,2013,1,3,3,Thursday,1,1,0,0,0,3
2013-01-04,BEVERAGES,54167.0,0,93.12,0,None,78494.0,2013,1,4,4,Friday,1,1,0,0,0,4
2013-01-05,BEVERAGES,77818.0,0,93.14666666666668,1,Work Day,93573.0,2013,1,5,5,Saturday,1,1,1,0,0,5
2013-01-06,BEVERAGES,86184.0,0,93.17333333333333,0,None,90464.0,2013,1,6,6,Sunday,1,1,1,0,0,6
2013-01-07,BEVERAGES,51619.0,0,93.2,0,None,75597.0,2013,1,7,0,Monday,2,1,0,0,0,7
2013-01-08,BEVERAGES,46941.0,0,93.21,0,None,72325.0,2013,1,8,1,Tuesday,2,1,0,0,0,8
2013-01-09,BEVERAGES,47910.0,0,93.08,0,None,71971.0,2013,1,9,2,Wednesday,2,1,0,0,0,9
2013-01-10,BEVERAGES,42390.0,0,93.81,0,None,66383.0,2013,1,10,3,Thursday,2,1,0,0,0,10
2013-01-11,BEVERAGES,50793.0,0,93.6,0,None,70338.0,2013,1,11,4,Friday,2,1,0,0,0,11
2013-01-12,BEVERAGES,72754.0,0,93.82333333333332,1,Work Day,85511.0,2013,1,12,5,Saturday,2,1,1,0,0,12
2013-01-13,BEVERAGES,82854.0,0,94.04666666666667,0,None,86306.0,2013,1,13,6,Sunday,2,1,1,0,0,13
2013-01-14,BEVERAGES,50195.0,0,94.27,0,None,70078.0,2013,1,14,0,Monday,3,1,0,0,0,14
2013-01-15,BEVERAGES,46604.0,0,93.26,0,None,71134.0,2013,1,15,1,Tuesday,3,1,0,0,0,15
2013-01-16,BEVERAGES,49122.0,0,94.28,0,None,72471.0,2013,1,16,2,Wednesday,3,1,0,0,0,16
2013-01-17,BEVERAGES,41646.0,0,95.49,0,None,68873.0,2013,1,17,3,Thursday,3,1,0,0,0,17
2013-01-18,BEVERAGES,50245.0,0,95.61,0,None,71371.0,2013,1,18,4,Friday,3,1,0,0,0,18
2013-01-19,BEVERAGES,77014.0,0,95.73,0,None,88558.0,2013,1,19,5,Saturday,3,1,1,0,0,19
2013-01-20,BEVERAGES,83841.0,0,95.85,0,None,85281.0,2013,1,20,6,Sunday,3,1,1,0,0,20
2013-01-21,BEVERAGES,51118.0,0,95.97,0,None,73250.0,2013,1,21,0,Monday,4,1,0,0,0,21
2013-01-22,BEVERAGES,42931.0,0,96.09,0,None,68988.0,2013,1,22,1,Tuesday,4,1,0,0,0,22
2013-01-23,BEVERAGES,43549.0,0,95.06,0,None,69819.0,2013,1,23,2,Wednesday,4,1,0,0,0,23
2013-01-24,BEVERAGES,38394.0,0,95.35,0,None,63705.0,2013,1,24,3,Thursday,4,1,0,0,0,24
2013-01-25,BEVERAGES,46689.0,0,95.15,0,None,71273.0,2013,1,25,4,Friday,4,1,0,0,0,25
2013-01-26,BEVERAGES,69586.0,0,95.41666666666667,0,None,88022.0,2013,1,26,5,Saturday,4,1,1,0,0,26
2013-01-27,BEVERAGES,70851.0,0,95.68333333333334,0,None,83304.0,2013,1,27,6,Sunday,4,1,1,0,0,27
2013-01-28,BEVERAGES,42178.0,0,95.95,0,None,70389.0,2013,1,28,0,Monday,5,1,0,0,0,28
2013-01-29,BEVERAGES,40592.0,0,97.62,0,None,68435.0,2013,1,29,1,Tuesday,5,1,0,0,0,29
2013-01-30,BEVERAGES,44583.0,0,97.98,0,None,70888.0,2013,1,30,2,Wednesday,5,1,0,0,0,30
2013-01-31,BEVERAGES,43078.0,0,97.65,0,None,70268.0,2013,1,31,3,Thursday,5,1,0,0,1,31
2013-02-01,BEVERAGES,56866.0,0,97.46,0,None,78302.0,2013,2,1,4,Friday,5,1,0,1,0,32
2013-02-02,BEVERAGES,79804.0,0,97.04333333333332,0,None,97347.0,2013,2,2,5,Saturday,5,1,1,0,0,33
2013-02-03,BEVERAGES,72329.0,0,96.62666666666667,0,None,87026.0,2013,2,3,6,Sunday,5,1,1,0,0,34
2013-02-04,BEVERAGES,44528.0,0,96.21,0,None,75330.0,2013,2,4,0,Monday,6,1,0,0,0,35
2013-02-05,BEVERAGES,42741.0,0,96.68,0,None,76206.0,2013,2,5,1,Tuesday,6,1,0,0,0,36
2013-02-06,BEVERAGES,46479.0,0,96.44,0,None,75291.0,2013,2,6,2,Wednesday,6,1,0,0,0,37
2013-02-07,BEVERAGES,46000.0,0,95.84,0,None,72789.0,2013,2,7,3,Thursday,6,1,0,0,0,38
