model,family,mape,rmse,mae,train_time_sec,predict_time_sec
Naive_7d,BEVERAGES,43.99230607969721,44454.391711031094,26633.944751381216,0.0,0.0
MA_30d,BEVERAGES,48.258882757537336,50826.17584650613,41546.707550644576,0.0,0.0
MA_7d,BEVERAGES,49.229526744200506,51225.18584972346,41144.71744277821,0.0,0.0
MA_30d,CLEANING,120.02952195520615,15995.983820575955,12618.190607734807,0.0,0.0
MA_7d,CLEANING,129.79462983873427,16144.151018584524,12250.730465666931,0.0,0.0
Naive_7d,CLEANING,138.95357099415418,17428.78742755076,11497.367403314916,0.0,0.0
MA_30d,DAIRY,65.78461334530759,11989.828206377304,9593.14935543278,0.0,0.0
Naive_7d,DAIRY,66.80477112905146,11394.301830070652,6747.732044198895,0.0,0.0
MA_7d,DAIRY,66.97292431339034,12216.17033579968,9531.678374112076,0.0,0.0
MA_7d,GROCERY I,98.14019554026913,59451.11739484872,45516.46858326756,0.0,0.0
MA_30d,GROCERY I,105.43694493039484,60973.66145520796,47272.315544383055,0.0,0.0
Naive_7d,GROCERY I,113.13660390743097,61708.002733159796,38498.574408839784,0.0,0.0
MA_30d,PRODUCE,62.11768400333797,27179.79078098894,22504.706638020623,0.0,0.0
Naive_7d,PRODUCE,62.8846130742695,25435.745640723202,15062.787709558012,0.0,0.0
MA_7d,PRODUCE,66.65722799983843,27496.461995199974,22236.38619271981,0.0,0.0
