model,family,mape,rmse,mae,train_time_sec,predict_time_sec
Naive_7d,BEVERAGES,43.99230607969721,44454.39171103109,26633.944751381216,0.0,0.0
Naive_7d,CLEANING,138.95357099415418,17428.78742755076,11497.367403314916,0.0,0.0
Naive_7d,DAIRY,66.80477112905146,11394.301830070652,6747.732044198895,0.0,0.0
Naive_7d,GROCERY I,113.13660390743097,61708.0027331598,38498.57440883978,0.0,0.0
Naive_7d,PRODUCE,62.8846130742695,25435.7456407232,15062.787709558012,0.0,0.0
SARIMAX,BEVERAGES,49.70139697719343,58736.14259150997,51467.659317229605,0.9293050999986008,0.0032414000015705
SARIMAX,CLEANING,139.78183611441256,20910.01543101597,17877.942004350043,1.357402900001034,0.0034735999943222
SARIMAX,DAIRY,89.45124185258987,15252.715348614758,13191.10687548196,0.5886985999968601,0.0036747999984072
SARIMAX,GROCERY I,65.24098517641245,50684.56850438191,37813.734298113806,1.499079999994137,0.0039227999950526
SARIMAX,PRODUCE,79.777142701581,29559.25057350606,25267.41991960359,2.935465000002296,0.0035018999915337
Prophet_Tuned,BEVERAGES,43.23558370876708,41838.385660232816,29945.065206246916,0.1234430999902542,0.0344004000071436
Prophet_Tuned,CLEANING,124.18224998551722,13540.877702891445,8807.15942490843,0.1287932000122964,0.035655300001963
Prophet_Tuned,DAIRY,67.25498553621415,8158.169417646312,5025.426774506356,0.1600811999960569,0.0371815000107744
Prophet_Tuned,GROCERY I,90.81959200439262,54011.77698301047,41041.97132129465,0.1648245999967912,0.0377540999907068
Prophet_Tuned,PRODUCE,59.99318345487566,22902.37020658096,16361.023985840377,0.2981060000020079,0.0356368999928236
XGBoost_Tuned,GROCERY I,52.84823911308006,30101.33316517354,18626.374547651933,1.2555538000306117,0.0043259999947622
XGBoost_Tuned,BEVERAGES,26.010450763798115,22802.02566502145,14784.848325276243,1.2555538000306117,0.0043259999947622
XGBoost_Tuned,PRODUCE,25.056473643294723,16515.031430502124,11112.817434787292,1.2555538000306117,0.0043259999947622
XGBoost_Tuned,CLEANING,88.97786664722075,8551.180602886618,5128.820053522099,1.2555538000306117,0.0043259999947622
XGBoost_Tuned,DAIRY,49.62861591706912,6049.032793569334,3994.047457700276,1.2555538000306117,0.0043259999947622
