model,family,mape,rmse,mae,train_time_sec,predict_time_sec
XGBoost_Baseline,GROCERY I,53.53790987114192,25768.90292002568,16528.20107665746,0.560942400014028,0.0024683999945409596
XGBoost_Baseline,BEVERAGES,29.775108413521643,21988.840601397867,13574.994906767955,0.560942400014028,0.0024683999945409596
XGBoost_Baseline,PRODUCE,35.76122356398504,14049.948940933507,8953.46029868232,0.560942400014028,0.0024683999945409596
XGBoost_Baseline,CLEANING,84.84374311426436,8429.684923933584,5415.684198031768,0.560942400014028,0.0024683999945409596
XGBoost_Baseline,DAIRY,51.57919814266283,6039.011502991301,3956.3117230662983,0.560942400014028,0.0024683999945409596
XGBoost_Tuned,GROCERY I,52.84823911308006,30101.33316517354,18626.374547651933,1.2555538000306115,0.004325999994762242
XGBoost_Tuned,BEVERAGES,26.010450763798115,22802.02566502145,14784.848325276243,1.2555538000306115,0.004325999994762242
XGBoost_Tuned,PRODUCE,25.056473643294723,16515.031430502124,11112.817434787292,1.2555538000306115,0.004325999994762242
XGBoost_Tuned,CLEANING,88.97786664722075,8551.180602886618,5128.820053522099,1.2555538000306115,0.004325999994762242
XGBoost_Tuned,DAIRY,49.62861591706912,6049.032793569334,3994.047457700276,1.2555538000306115,0.004325999994762242
